FileName,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,zfs,E/D
954,N1C(C)(C)C(C)(C)NC1=C1C=CNC=C1,N1C(C)(C)C(C)(C)NC1=C1C=CNC=C1,Cc1ccc(C(O)O)cc1,Cc1ccc(C(O)O)cc1,O,O,1,1,1,1,1,1,O,O,N,O,N,N,-25.915529,0.316404
955,c1ccc(NCc2cccc(NNc3ccccc3)n2)cc1,c1ccc(NCc2cccc(NNc3ccccc3)n2)cc1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,18.08324942,0.12724267
961,C,CC(NO)C(NO)c1ccccc1,CC(NO)C(NO)c1ccccc1,c1ccncc1,X,X,1,2,2,1,0,0,C,N,N,N,N,N,9.724220583,0.168088895
963,OC(O)c1cncc(Oc2ccc(C(O)O)c(C(O)O)c2)c1,O,O,OC(O)c1cncc(Oc2ccc(C(O)O)c(C(O)O)c2)c1,O,O,1,1,1,1,1,1,N,O,O,N,O,O,45.86548796,0.142519808
964,OC(O)c1cccc(-c2ccccc2)n1,OC(O)c1cccc(-c2ccccc2)n1,c1cnc2c(c1)ccc1cccnc12,X,X,X,2,2,2,0,0,0,O,O,N,N,N,N,60.134574,0.120397
965,Cc1nn(-c2ccccc2)c(O)c1C(Nc1ccc(F)cc1)c1ccccc1,CCO,Cc1nn(-c2ccccc2)c(O)c1C(Nc1ccc(F)cc1)c1ccccc1,CCO,X,X,2,1,2,1,0,0,N,O,O,N,O,O,-127.050402,0.328994
967,Cc1ccc(-c2c(C(O)O)cc(OCC(O)O)c3cc(C)ccc23)cc1,O,O,Cc1ccc(-c2c(C(O)O)cc(OCC(O)O)c3cc(C)ccc23)cc1,O,O,1,1,1,1,1,1,O,O,O,O,O,O,108.344686,0.194718
968,N1C=CC(C2N=C(C3C=NC=CN3)NN=2)=CC=1,N1C=CC(C2N=C(C3C=NC=CN3)NN=2)=CC=1,O,O,X,X,2,2,1,1,0,0,O,N,N,O,N,N,42.91596,0.218457
970,NCS,NCS,CC(C)(C)N1Cc2cccc(n2)CN(C(C)(C)C)Cc2cccc(n2)C1,X,X,X,1,1,4,0,0,0,N,N,N,N,N,N,-108.087987,0.275997
971,NC[SeH],NC[SeH],CC(C)(C)N1Cc2cccc(n2)CN(C(C)(C)C)Cc2cccc(n2)C1,X,X,X,1,1,4,0,0,0,N,N,N,N,N,N,109.451496,0.250123
972,NCC(CN)CN,CC(C)(C)N1Cc2cccc(n2)CN(C(C)(C)C)Cc2cccc(n2)C1,NCC(CN)CN,X,X,X,1,4,1,0,0,0,N,N,N,N,N,N,-0.620162,0.022416
973,CC(C)(C)c1ccc(C(C)(C)C)c(O)c1O,c1ccc(-c2ccccn2)nc1,CC(C)(C)c1ccc(C(C)(C)C)c(O)c1O,X,X,X,2,2,2,0,0,0,O,O,N,N,O,O,14.84859293,0.146866835
974,N1C(C)(C)C(C)(C)NC1=C1C=CNC=C1,N1C(C)(C)C(C)(C)NC1=C1C=CNC=C1,NCNCN,NCNCN,O,O,1,1,1,1,1,1,N,N,O,N,N,O,104.74303,0.329952
975,c1ccc(C(NNCc2ccccn2)C(NNCc2ccccn2)c2ccccc2)cc1,NCS,NCS,X,X,X,4,1,1,0,0,0,N,N,N,N,N,N,-32.697943,0.233461
976,CC(NNC(c1ccccc1)C(NNC(C)c1ccccn1)c1ccccc1)c1ccccn1,NCS,NCS,X,X,X,4,1,1,0,0,0,N,N,N,N,N,N,-32.058972,0.263754
977,c1ccc(C(NNC(c2ccccc2)C(NNC(c2ccccc2)c2ccccn2)c2ccccc2)c2ccccn2)cc1,NCS,NCS,X,X,X,4,1,1,0,0,0,N,N,N,N,N,N,-39.142974,0.10548
979,c1c(C(=O)O)[nH]c(=O)[nH]c1=O,c1c(C(=O)O)[nH]c(=O)[nH]c1=O,c1ccc(-c2ccccn2)nc1,X,X,X,2,2,2,0,0,0,N,O,N,O,N,N,24.54891286,0.162591797
980,C1CSCCN1,OC(CC(O)c1ccccc1)c1ccccc1,C1CSCCN1,OC(CC(O)c1ccccc1)c1ccccc1,X,X,1,2,1,2,0,0,O,N,O,O,N,O,34.42874855,0.134840355
981,C1=CC=C(C)C(O)=N1,C1=CC=C(C)C(O)=N1,C1=CC=C(C)C(O)=N1,C1=CC=C(C)C(O)=N1,ON(O)O,ON(O)O,1,1,1,1,1,1,O,O,O,O,O,O,94.575792,0.043396
982,NCCCSCCNCCCS,ONO,ONO,X,X,X,4,1,1,0,0,0,S,S,N,N,N,N,101.067779,0.332404
983,OC(Nc1ccccc1)c1ccccn1,O,OC(Nc1ccccc1)c1ccccn1,O,X,X,2,1,2,1,0,0,O,O,N,O,O,N,-24.94210241,0.199188155
